z,mu,sig
0.04502,36.4541,0.196266
0.04496,36.4634,0.173532
0.04488,36.1579,0.182756
0.04549,36.3811,0.196005
0.04627,36.2636,0.218105
0.04612,36.5394,0.159223
0.04541,36.3247,0.195021
0.04673,36.5081,0.209562
0.0467,36.4713,0.19409
0.04692,36.4786,0.148197
0.04764,36.7582,0.280677
0.04677,36.5642,0.229149
0.04734,36.6009,0.161688
0.04768,36.5946,0.145385
0.0478,36.5627,0.208806
0.04777,36.4976,0.165873
0.04777,36.3735,0.154741
0.04867,36.3303,0.135835
0.04839,36.641,0.181462
0.05018,36.5997,0.202684
0.04896,36.4691,0.176995
0.04928,36.5828,0.168097
0.05019,36.6402,0.244395
0.04952,36.4714,0.18553
0.0498,36.5693,0.155812
0.04998,36.8583,0.163226
0.04944,36.5403,0.453411
0.0497,36.4621,0.201896
0.05063,36.5461,0.190961
0.05071,36.7036,0.133364
0.04995,36.8523,0.302557
0.05139,36.8804,0.16836
0.05196,36.393,0.201448
0.05165,36.5862,0.156832
0.05148,36.7759,0.228182
0.05232,36.8679,0.208308
0.05229,36.8411,0.218249
0.0532,36.9144,0.207509
0.05268,36.7752,0.161766
0.05291,36.8474,0.172204
0.05449,36.8631,0.133817
0.0543,36.8327,0.178902
0.05485,36.8581,0.149593
0.05529,36.6433,0.175423
0.05513,36.8676,0.194374
0.05641,36.8109,0.193162
0.05658,36.9098,0.185051
0.05668,37.0393,0.176308
0.05631,36.9903,0.171451
0.0568,37.0687,0.221323
0.0576,36.9821,0.138149
0.05708,36.9545,0.182842
0.05837,36.9802,0.215566
0.05934,36.3001,0.617516
0.06079,37.032,0.17759
0.0613,37.1631,0.123921
0.06067,37.1383,0.198009
0.06116,36.9608,0.196145
0.06142,37.0747,0.183316
0.0637,37.3517,0.206518
0.06419,37.0197,0.155855
0.06398,37.0786,0.154429
0.06485,37.0851,0.153034
0.06603,37.3617,0.203312
0.06652,37.1627,0.296189
0.06723,37.4237,0.194412
0.06731,37.2344,0.203006
0.06758,37.4935,0.190499
0.06841,37.2381,0.191221
0.06908,37.4213,0.159324
0.0691,37.2817,0.174144
0.07076,37.2944,0.277681
0.07028,37.2961,0.226908
0.07046,37.4787,0.176182
0.07113,37.4814,0.447068
0.07068,37.4543,0.24781
0.07061,37.7291,0.501827
0.07074,37.3712,0.228257
0.07094,37.3552,0.196012
0.07149,37.2494,0.16107
0.07134,37.4155,0.208957
0.07193,37.5618,0.180815
0.07196,37.6319,0.199695
0.07301,37.6225,0.304764
0.07398,37.5535,0.176502
0.07478,37.4346,0.222054
0.07467,37.4501,0.192118
0.0749,37.4763,0.179761
0.0749,37.5656,0.154994
0.07514,37.8142,0.289148
0.07529,37.5461,0.217171
0.07557,37.6342,0.198325
0.07855,37.5715,0.150392
0.07833,37.8315,0.146078
0.07849,38.0154,0.239252
0.07849,38.0942,0.180119
0.07869,37.5988,0.503338
0.07891,37.7843,0.238199
0.07901,37.53,0.147217
0.07966,37.6003,0.157805
0.08024,37.6668,0.119289
0.08141,37.7215,0.219648
0.08221,37.8192,0.217606
0.08255,37.6774,0.265638
0.08282,37.9939,0.195118
0.08366,37.9686,0.221594
0.08544,37.8406,0.128563
0.08656,37.8484,0.21681
0.08848,37.7772,0.253181
0.09015,37.9202,0.21704
0.09066,38.0269,0.167553
0.09181,38.1602,0.266341
0.09284,38.2226,0.493293
0.09968,38.4377,0.194713
0.10142,38.2982,0.165557
0.10237,38.4085,0.187412
0.10231,38.2511,0.199553
0.10298,38.1815,0.18625
0.10338,38.3338,0.12638
0.10351,38.2079,0.196456
0.10485,38.4295,0.236183
0.10638,38.2611,0.195537
0.10684,38.4624,0.151122
0.10694,38.4295,0.210466
0.10728,38.7801,0.468541
0.10751,38.4984,0.180059
0.1081,38.4017,0.187108
0.10886,38.4016,0.133183
0.10988,38.5701,0.179741
0.11243,38.6214,0.163201
0.11365,38.3876,0.194923
0.11628,38.5408,0.159897
0.11635,38.6302,0.185742
0.11741,38.5727,0.239635
0.11771,38.6088,0.214419
0.11797,38.4157,0.127058
0.11878,38.5629,0.212381
0.11992,38.5958,0.200195
0.12042,38.7926,0.252257
0.12067,38.6348,0.302627
0.1219,38.5945,0.157915
0.12208,38.6119,0.231142
0.12262,38.6853,0.144584
0.12303,38.5967,0.274641
0.12336,38.6164,0.162163
0.12356,38.8009,0.333367
0.12363,38.8242,0.150324
0.12377,38.6504,0.145797
0.12384,38.835,0.221531
0.12455,38.7616,0.12587
0.12542,39.1417,0.298944
0.12608,38.4956,0.293348
0.12688,38.8125,0.259679
0.12694,38.6849,0.280884
0.12705,38.7429,0.159508
0.12716,38.7841,0.176913
0.129,38.7547,0.150979
0.12904,38.8403,0.212795
0.12929,38.833,0.250442
0.1294,38.8429,0.142748
0.13153,38.802,0.134576
0.13269,38.7841,0.122177
0.13349,38.8266,0.283718
0.13353,38.8434,0.157696
0.13463,39.2366,0.199357
0.13514,39.0775,0.31333
0.13599,38.9771,0.206627
0.1364,38.8475,0.195569
0.13687,39.0095,0.224296
0.13696,38.9616,0.259136
0.13729,39.3511,0.230391
0.13811,38.8857,0.128482
0.13818,38.9503,0.15974
0.13824,39.0229,0.12425
0.13834,39.0401,0.319084
0.13868,38.9999,0.176022
0.13864,39.0467,0.130742
0.13959,39.0213,0.145767
0.1407,39.1775,0.184019
0.14084,39.2835,0.203514
0.14108,39.0407,0.212429
0.1412,39.1237,0.260864
0.14311,39.047,0.160602
0.14335,39.5154,0.37065
0.14344,39.1135,0.129494
0.14388,39.0756,0.170594
0.1441,39.016,0.24096
0.14533,39.1518,0.210163
0.14624,39.1857,0.207408
0.14656,39.158,0.187578
0.14741,39.0154,0.197495
0.14729,38.9672,0.171803
0.14759,39.134,0.188785
0.14757,39.161,0.170177
0.14812,39.2285,0.184985
0.14792,39.0382,0.157931
0.14819,39.0239,0.142683
0.14882,39.1606,0.17494
0.14923,39.1104,0.175216
0.15036,39.1058,0.170038
0.15067,39.1687,0.134119
0.15186,39.0477,0.158769
0.15272,39.3239,0.173198
0.15304,39.2175,0.127754
0.15317,39.0991,0.159928
0.15325,39.2564,0.179373
0.15339,39.3639,0.175468
0.15493,39.2076,0.167881
0.15509,39.278,0.157843
0.15518,39.3994,0.175858
0.15591,38.9704,0.179204
0.15654,39.2087,0.210288
0.15838,39.0794,0.163715
0.15906,39.4267,0.283686
0.15922,38.9503,0.143914
0.15935,39.0908,0.143045
0.16009,39.0428,0.270648
0.15991,39.2286,0.167715
0.16036,39.2057,0.217053
0.16045,39.4242,0.26036
0.1606,39.2162,0.20927
0.16134,39.3106,0.246322
0.1622,39.3252,0.224064
0.16357,39.2807,0.200998
0.16431,39.2634,0.199319
0.16455,39.3293,0.139452
0.16478,39.3182,0.150918
0.16593,39.4938,0.241887
0.16595,39.1817,0.193496
0.16817,39.2757,0.165826
0.16935,39.5155,0.182871
0.1696,39.6721,0.274897
0.17029,39.4742,0.132684
0.17137,39.5424,0.275502
0.17156,39.4603,0.214715
0.17239,39.5021,0.177409
0.17274,39.2676,0.152344
0.17282,39.7263,0.252568
0.17315,39.3871,0.131849
0.17357,39.5403,0.18318
0.1736,39.3493,0.151501
0.17383,39.5986,0.318528
0.174,39.5734,0.137128
0.17405,39.3317,0.154309
0.17431,39.5053,0.183971
0.17427,39.5546,0.230974
0.17428,39.4849,0.162645
0.17483,39.7434,0.182014
0.17654,39.5164,0.135467
0.17697,39.5095,0.175623
0.17729,39.4771,0.138264
0.17769,39.3394,0.257355
0.1778,39.6477,0.131546
0.17839,39.9669,0.207864
0.1789,39.641,0.157339
0.17896,39.7672,0.201468
0.17916,39.5355,0.229828
0.17955,39.5509,0.280575
0.17959,39.5519,0.174634
0.17979,39.5962,0.208929
0.1799,39.9979,0.268081
0.18037,39.3688,0.13762
0.18059,39.5035,0.133745
0.18064,39.7166,0.179158
0.18067,39.6391,0.133983
0.18071,39.6151,0.246207
0.1808,39.6213,0.207991
0.18138,39.6585,0.225961
0.18123,39.4868,0.134057
0.18148,39.3953,0.235174
0.18203,39.5863,0.201062
0.18216,39.5259,0.149858
0.18217,39.6885,0.152439
0.18243,39.7821,0.177319
0.18345,39.5995,0.294191
0.18383,39.68,0.151568
0.18376,39.752,0.19743
0.18388,39.796,0.218377
0.18444,39.9384,0.282465
0.18443,39.7891,0.142656
0.18468,39.6548,0.27682
0.18482,39.613,0.134864
0.18492,39.7435,0.159325
0.18501,39.6347,0.160441
0.18507,39.5427,0.172189
0.18538,39.7882,0.139358
0.18651,39.7559,0.144508
0.18714,39.7694,0.13671
0.18801,39.7451,0.191467
0.18892,39.4384,0.149571
0.18893,39.8089,0.256269
0.18937,39.9359,0.228953
0.18915,40.1408,0.200523
0.18931,39.7413,0.209197
0.18955,39.7624,0.238646
0.18979,39.7286,0.224725
0.19009,39.8807,0.15799
0.19026,39.6892,0.294972
0.1903,39.9182,0.154841
0.19397,39.7983,0.218857
0.19422,39.8787,0.222002
0.19534,40.1343,0.403955
0.19556,39.7111,0.156617
0.19549,39.9082,0.195934
0.19555,39.958,0.212325
0.19602,39.7288,0.124812
0.19611,39.7747,0.157962
0.19616,39.8397,0.254651
0.19624,39.8927,0.29342
0.19719,39.8018,0.14158
0.19726,39.6932,0.130873
0.19786,39.492,0.189171
0.19801,39.7561,0.182544
0.19815,39.8879,0.174409
0.19846,40.3246,0.238597
0.1986,39.8881,0.211487
0.19863,39.889,0.174502
0.19892,40.0216,0.217638
0.19956,39.8511,0.254227
0.19948,39.6764,0.246154
0.19957,39.8965,0.17155
0.20062,39.6837,0.194976
0.20068,39.9838,0.252956
0.20074,39.7672,0.316127
0.20139,39.8575,0.216953
0.20216,39.6184,0.198124
0.20237,39.9949,0.159703
0.20268,39.8373,0.184965
0.20308,39.9658,0.146626
0.20314,39.8822,0.166845
0.20318,39.9277,0.173799
0.20323,39.9335,0.216127
0.20368,39.9041,0.171481
0.20454,39.8809,0.160012
0.20471,39.8427,0.202322
0.20515,40.1661,0.227714
0.20549,39.8126,0.174944
0.20699,39.9225,0.279831
0.20736,40.316,0.333666
0.20754,40.0725,0.148972
0.20831,39.7299,0.272182
0.20847,39.8758,0.146778
0.20856,40.1034,0.239508
0.20857,39.8639,0.197696
0.20864,39.8798,0.15965
0.20937,39.8413,0.262138
0.21003,40.1479,0.148877
0.21023,39.4543,0.186032
0.21071,39.9632,0.223017
0.21083,39.806,0.155718
0.21099,39.9552,0.163264
0.21137,40.1415,0.266119
0.2116,39.9676,0.230498
0.21186,39.9136,0.194498
0.21214,39.9374,0.243726
0.21339,40.0218,0.16528
0.21353,40.0084,0.19033
0.21383,39.8874,0.197488
0.21442,40.0179,0.298904
0.21511,39.8825,0.477887
0.21513,40.4641,0.22943
0.21566,40.2253,0.258716
0.21653,39.8253,0.141535
0.21674,40.0672,0.190384
0.21677,40.0932,0.185301
0.21729,40.1395,0.269611
0.21781,39.9942,0.174837
0.21848,40.2216,0.204417
0.21884,40.1416,0.247596
0.21885,40.1925,0.240729
